Implied PPP conversion rate (National currency per international dollar),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.092,10.096,10.929,11.736,12.254,13.014,14.883,14.39,15.37,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.946,19.101,18.375,no data,no data,no data,no data,no data,no data,no data
Barbados,1.345,1.379,1.427,1.45,1.473,1.478,1.514,1.585,1.574,1.618,1.617,1.635,1.632,1.677,1.678,1.66,1.672,1.659,1.783,1.836,1.772,1.772,1.76,1.746,1.799,1.861,1.886,1.992,1.987,1.941,1.991,2.019,2.123,2.146,2.173,2.131,2.119,2.203,2.214,2.284,2.282,2.269,2.266,2.289,2.305,2.327,2.351,2.376,2.394
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0,0,0,0,0.001,0.001,0.006,0.016,0.029,0.041,0.052,0.063,0.072,0.077,0.085,0.101,0.106,0.117,0.196,0.32,0.374,0.449,0.525,0.564,0.609,0.667,0.711,0.786,0.85,0.912,0.939,0.988,1.018,1.051,1.092,1.128
Belgium,0.842,0.809,0.819,0.833,0.848,0.86,0.866,0.86,0.848,0.855,0.848,0.844,0.853,0.867,0.866,0.883,0.872,0.863,0.869,0.862,0.86,0.858,0.859,0.858,0.851,0.842,0.836,0.829,0.829,0.828,0.834,0.832,0.822,0.806,0.8,0.8,0.781,0.773,0.766,0.766,0.768,0.755,0.748,0.749,0.758,0.758,0.757,0.757,0.757
Belize,1.681,1.596,1.625,1.554,1.503,1.466,1.46,1.366,1.406,1.351,1.329,1.257,1.27,1.264,1.27,1.311,1.325,1.282,1.285,1.24,1.228,1.192,1.183,1.118,1.114,1.109,1.115,1.127,1.145,1.111,1.122,1.151,1.239,1.264,1.312,1.319,1.342,1.375,1.345,1.32,1.295,1.288,1.279,1.279,1.272,1.261,1.252,1.245,1.237
Benin,144.645,112.014,120.173,129.603,139.203,138.66,130.254,131.767,126.957,124.406,115.342,112.413,113.233,113.242,149.713,168.78,177.194,180.579,187.911,203.026,207.146,206.574,210.633,212.88,208.911,211.256,209.224,204.514,213.577,217.606,216.916,220.434,234.004,231.477,225.044,220.524,214.434,216.774,212.933,208.516,211.754,205.932,200.416,202.869,202.869,202.853,202.968,203.305,203.592
Bhutan,4.996,4.776,4.776,4.933,5.153,5.396,5.646,5.705,5.89,6.213,6.373,6.609,7.06,7.497,8.231,8.893,9.459,10.286,11.311,12.123,12.355,12.515,12.951,13.186,13.277,13.501,13.836,14.038,14.357,14.997,15.613,16.397,17.148,18.135,18.677,18.587,18.831,19.208,19.376,19.287,19.776,20.092,19.913,20.071,20.503,21.007,21.494,21.984,22.46
Bolivia,0,0,0,0,0.002,0.189,0.612,0.681,0.777,0.846,0.948,1.08,1.195,1.244,1.315,1.435,1.572,1.634,1.729,1.746,1.796,1.79,1.812,1.889,1.987,2.041,2.25,2.352,2.548,2.47,2.655,2.981,3.045,3.033,3.018,2.941,2.835,2.749,2.766,2.699,2.615,2.602,2.558,2.559,2.612,2.658,2.706,2.759,2.811
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.481,0.502,0.485,0.554,0.562,0.574,0.6,0.614,0.635,0.632,0.631,0.631,0.654,0.677,0.718,0.713,0.715,0.718,0.706,0.686,0.687,0.694,0.676,0.676,0.679,0.683,0.675,0.678,0.708,0.712,0.717,0.724,0.73,0.733,0.733
Botswana,0.42,0.37,0.385,0.399,0.47,0.562,0.59,0.674,0.821,0.838,0.801,0.824,0.886,0.959,1.073,1.13,1.322,1.364,1.515,1.714,1.862,1.957,1.92,1.935,2.08,2.335,2.456,2.536,2.721,3.112,3.312,3.655,3.964,4.126,4.284,4.43,4.575,4.734,4.625,4.559,4.696,4.879,5.223,5.202,5.285,5.389,5.526,5.652,5.802
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.012,0.284,0.539,0.627,0.664,0.689,0.734,0.758,0.802,0.867,0.97,1.018,1.061,1.099,1.139,1.215,1.296,1.388,1.473,1.606,1.701,1.813,1.989,2.133,2.182,2.226,2.279,2.395,2.553,2.584,2.589,2.654,2.689,2.73,2.775,2.821
